,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X217,X217,112,28698,28698,671,Theistareykir,PG-14,Injection,direct,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,217,211
X48,X48,18,14268,13530,688,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,48,42
X102,X102,52,42331,42290,688,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,102,96
X12,X12,6,28142,23515,695,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,12,6
X137,X137,52,52270,52247,697,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,137,131
X16,X16,10,66610,65230,709,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,16,10
X94,X94,44,46897,42492,737,Neustadt-Glewe,Production,Production,spores,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,94,88
X179,X179,94,20356,20356,757,Krafla,K-06,Production,direct,341.5,2000,0.03,0,251.42,1.21,54.63,1.34,0.55,NA,NA,1.36,0.36,0.53,0,0,0,0,0.26,0.27,179,173
X80,X80,35,62705,60255,761,Bad Blumau,Production,Production,spores,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,80,74
X74,X74,29,22032,19408,805,Bad Blumau,Injection,Injection,spores,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,74,68
X35,X35,17,36996,35046,848,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,35,29
X251,X251,116,29664,28546,853,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,251,245
