,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X237,X237,102,33738,32762,4534,Theistareykir,PN-2,Injection,spores,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,231
X70,X70,25,54817,51008,4593,Bad Blumau,Injection,Injection,spores,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,70,64
X36,X36,18,26749,22731,4647,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,36,30
X169,X169,84,46533,45276,4694,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,169,163
X243,X243,108,11353,11172,4737,Theistareykir,PG-5B,Production,spores,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,243,237
X214,X214,109,36943,36943,4772,Theistareykir,PG-5B,Production,direct,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,214,208
X239,X239,104,5259,5127,4800,Theistareykir,PN-2,Injection,spores,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,233
X33,X33,15,37347,35134,4856,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,33,27
X140,X140,55,69192,69010,4874,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,140,134
B1,B1,NA,50881,41006,4888,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B1,262
X261,X261,126,30456,30456,4951,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,261,255
X76,X76,31,34152,28152,5007,Bad Blumau,Middle,HeatCentral,spores,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,76,70
X65,X65,35,58870,58475,5075,Bad Blumau,Production,Production,direct,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,65,59
B5,B5,NA,38527,38527,5111,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B5,266
X254,X254,119,30460,30460,5134,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,254,248
X53,X53,23,15252,15004,5136,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,53,47
X241,X241,106,8945,8945,5273,Theistareykir,PG-5B,Production,spores,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,241,235
X208,X208,103,35553,35214,5321,Theistareykir,PN-2,Injection,direct,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,202
X219,X219,114,37127,37127,5420,Theistareykir,PG-14,Injection,direct,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,219,213
X199,X199,94,8521,8521,5451,Krafla,K-06,Production,spores,341.5,2000,0.03,0,251.42,1.21,54.63,1.34,0.55,NA,NA,1.36,0.36,0.53,0,0,0,0,0.26,0.27,199,193
X15,X15,9,32682,32344,5490,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,15,9
X238,X238,103,40589,40298,5662,Theistareykir,PN-2,Injection,spores,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,232
X168,X168,83,44726,40869,5697,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,168,162
X51,X51,21,9266,8530,5704,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,51,45
X97,X97,47,39082,38984,5771,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,97,91
X235,X235,100,45664,44755,5824,Theistareykir,PN-2,Injection,spores,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,229
X211,X211,106,45369,44653,5867,Theistareykir,PG-5B,Production,direct,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,211,205
B15,B15,NA,61387,61344,5879,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B15,276
B7,B7,NA,33658,33658,5915,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B7,268
X77,X77,32,52134,47814,5970,Bad Blumau,Middle,HeatCentral,spores,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,77,71
X202,X202,97,37543,36688,6062,Krafla,K-32,Injection,spores,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,202,196
X18,X18,12,18054,16608,6063,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,18,12
X206,X206,101,29231,29190,6118,Theistareykir,PN-2,Injection,direct,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,200
X233,X233,128,30131,29857,6168,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,233,227
X13,X13,7,42187,41869,6172,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,13,7
B19,B19,NA,39517,37923,6334,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B19,280
X163,X163,78,39475,39159,6411,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,163,157
X106,X106,56,36720,36609,6554,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,106,100
X142,X142,57,49579,49396,6564,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,142,136
X34,X34,16,12978,11984,6566,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,34,28
X20,X20,2,32716,27064,6617,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,20,14
X50,X50,20,4657,4290,6619,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,50,44
X10,X10,4,13512,11850,6798,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,10,4
X170,X170,85,32743,32743,6922,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,170,164
X21,X21,3,28404,28335,7272,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,21,15
X207,X207,102,22557,22161,7309,Theistareykir,PN-2,Injection,direct,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,201
X96,X96,46,40892,40773,7423,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,96,90
X247,X247,112,21563,21563,7447,Theistareykir,PG-14,Injection,spores,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,247,241
X67,X67,37,50557,50199,7714,Bad Blumau,Production,Production,direct,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,67,61
X64,X64,34,51040,49424,7795,Bad Blumau,Middle,HeatCentral,direct,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,64,58
B22,B22,NA,25493,24565,8009,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B22,283
X63,X63,33,33963,32684,8058,Bad Blumau,Middle,HeatCentral,direct,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,63,57
X240,X240,105,9342,9342,8435,Theistareykir,PG-5B,Production,spores,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,240,234
B3,B3,NA,41170,41011,8529,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B3,264
X82,X82,37,14472,13341,8785,Bad Blumau,Production,Production,spores,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,82,76
X194,X194,89,30890,32135,8994,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,194,188
X190,X190,85,27419,26860,9069,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,190,184
X9,X9,3,47845,46116,9266,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,9,3
X220,X220,115,37786,37786,9320,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,220,214
X165,X165,80,41531,41434,9426,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,165,159
A,A,NA,36283,35558,9815,eau physiologique ,NA,NA,direct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,259
X198,X198,93,20458,19941,9817,Krafla,K-06,Production,spores,341.5,2000,0.03,0,251.42,1.21,54.63,1.34,0.55,NA,NA,1.36,0.36,0.53,0,0,0,0,0.26,0.27,198,192
X139,X139,54,49727,49542,9971,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,139,133
X225,X225,120,25468,24743,10031,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,225,219
X141,X141,56,60580,60288,10317,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,141,135
X68,X68,38,46590,45965,10408,Bad Blumau,Production,Production,direct,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,68,62
X72,X72,27,58703,56873,10523,Bad Blumau,Injection,Injection,spores,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,72,66
X55,X55,25,22693,22443,10780,Bad Blumau,Injection,Injection,direct,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,55,49
X92,X92,42,41257,34430,11494,Neustadt-Glewe,Production,Production,spores,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,92,86
B16,B16,NA,69946,69867,11648,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B16,277
X249,X249,114,29741,28445,11750,Theistareykir,PG-14,Injection,spores,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,249,243
X234,X234,129,44328,42217,11845,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,234,228
X253,X253,118,24305,24305,11905,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,253,247
X256,X256,121,31507,31507,11985,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,256,250
X61,X61,31,25379,24482,12023,Bad Blumau,Middle,HeatCentral,direct,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,61,55
X250,X250,115,38490,38490,12251,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,250,244
X200,X200,95,34065,33141,13647,Krafla,K-32,Injection,spores,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,200,194
X246,X246,111,9927,9927,13848,Theistareykir,PG-14,Injection,spores,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,246,240
X98,X98,48,17003,16947,14137,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,98,92
X30,X30,12,36313,34575,14370,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,30,24
X42,X42,24,22620,19832,14988,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,42,36
X213,X213,108,32435,32229,15032,Theistareykir,PG-5B,Production,direct,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,213,207
X161,X161,76,44560,44486,15422,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,161,155
X44,X44,14,34141,29328,15550,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,44,38
X258,X258,123,42778,42133,15653,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,258,252
X212,X212,107,43398,43398,16031,Theistareykir,PG-5B,Production,direct,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,212,206
X46,X46,16,55457,51829,16751,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,46,40
X60,X60,30,32930,31984,16888,Bad Blumau,Middle,HeatCentral,direct,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,60,54
X90,X90,40,19028,17540,17056,Neustadt-Glewe,Production,Production,spores,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,90,84
X29,X29,11,30720,29721,17351,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,29,23
X244,X244,109,11093,11093,17431,Theistareykir,PG-5B,Production,spores,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,244,238
X28,X28,10,25633,20974,17818,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,28,22
X59,X59,29,37750,37367,19685,Bad Blumau,Injection,Injection,direct,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,59,53
X57,X57,27,38013,37497,19805,Bad Blumau,Injection,Injection,direct,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,57,51
X260,X260,125,28181,28174,20462,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,260,254
X132,X132,47,40525,40286,21999,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,132,126
X192,X192,87,40737,40415,22192,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,192,186
X41,X41,23,89281,84902,22696,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,41,35
X252,X252,117,34794,34258,23252,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,252,246
X56,X56,26,33421,33088,23340,Bad Blumau,Injection,Injection,direct,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,56,50
X153,X153,68,32068,32000,23667,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,153,147
X62,X62,32,50249,48529,24088,Bad Blumau,Middle,HeatCentral,direct,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,62,56
X143,X143,58,7720,7696,24146,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,143,137
X69,X69,39,40520,40214,24740,Bad Blumau,Production,Production,direct,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,69,63
X128,X128,78,0,0,24992,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,128,122
X226,X226,121,38112,38071,25840,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,226,220
X24,X24,6,43501,41402,26875,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,24,18
X151,X151,66,31372,31285,26932,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,151,145
X129,X129,79,33636,33581,27301,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,129,123
X187,X187,82,41003,41003,29321,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,187,181
X183,X183,98,47134,46049,33051,Krafla,K-32,Injection,direct,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,183,177
X166,X166,81,27145,27592,35142,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,166,160
X160,X160,75,43836,43809,36096,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,160,154
X155,X155,70,36650,36557,36185,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,155,149
X264,X264,129,34581,34581,36236,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,264,258
X158,X158,73,33955,33733,38423,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,158,152
X228,X228,123,34847,34520,39836,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,228,222
X110,X110,60,28457,28325,39839,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,110,104
X93,X93,43,45040,42658,40041,Neustadt-Glewe,Production,Production,spores,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,93,87
X152,X152,67,47283,47147,40518,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,152,146
X191,X191,86,37132,37132,42467,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,191,185
X58,X58,28,19277,19025,42726,Bad Blumau,Injection,Injection,direct,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,58,52
X164,X164,79,61497,61166,44347,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,164,158
X150,X150,65,10861,10798,45233,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,150,144
X248,X248,113,28516,28516,45794,Theistareykir,PG-14,Injection,spores,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,248,242
X147,X147,62,9924,9889,46454,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,147,141
X189,X189,84,31748,31192,46508,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,189,183
X127,X127,77,35480,35480,48405,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,127,121
X162,X162,77,30574,30471,48902,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,162,156
X205,X205,100,28278,28142,49286,Theistareykir,PN-2,Injection,direct,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,199
X149,X149,64,8763,8716,50513,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,149,143
X157,X157,72,38518,38374,52373,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,157,151
X204,X204,99,33727,33727,53565,Krafla,K-32,Injection,spores,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,204,198
