SampleID	pair	powerplant	site	type	treatment	temperature	depth	Cl	Br	SO4	F	SO3	Acetate	Acetate_C 	Propionate	Propionate_C	Formate	Formate_C	DOC	HOC	Makro1	Makro2	Makro3	LMWA	LMWN	sampleid_original	original_order
X108	58	Heemskerk	Production	Production	direct	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	108	102
X109	59	Heemskerk	Production	Production	direct	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	109	103
X11	5	Insheim	Injection	Injection	direct	65	3850	77.4	178	144.94	5.5	NA	0	0.12	NA	NA	0	NA	NA	0	0	0	0	0.35	13.89	11	5
X110	60	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	110	104
X111	61	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	111	105
X112	62	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	112	106
X113	63	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	113	107
X114	64	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	114	108
X115	65	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	115	109
X116	66	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	116	110
X117	67	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	117	111
X118	68	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	118	112
X119	69	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	119	113
X12	6	Insheim	Injection	Injection	direct	65	3850	77.4	178	144.94	5.5	NA	0	0.12	NA	NA	0	NA	NA	0	0	0	0	0.35	13.89	12	6
X120	70	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	120	114
X121	71	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	121	115
X122	72	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	122	116
X123	73	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	123	117
X124	74	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	124	118
X125	75	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	125	119
X126	76	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	126	120
X127	77	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	127	121
X128	78	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	128	122
X129	79	Heemskerk	Injection	Injection	direct	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	129	123
X13	7	Insheim	Production	Production	direct	165	3650	76.26	170.58	117.06	5.5	0	0.6	0.14	NA	NA	0	NA	1.81	0	0.03	0	0	0.26	1.52	13	7
X130	45	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	130	124
